ID,Fecha Inicio,Total Interacciones
11,2026-02-08 17:04:31,3
10,2026-02-04 03:29:46,3
9,2026-02-04 03:22:18,2
8,2026-02-04 02:22:51,1
7,2026-02-04 01:32:05,19
6,2026-02-04 01:29:38,2
5,2026-02-04 01:12:49,14
4,2026-02-04 01:05:09,10
3,2026-02-04 00:45:27,15
2,2026-02-04 00:27:19,8
1,2026-02-04 00:23:55,5
